title,classification,link_web,telephone
Prezzo,Italian Restaurants,http://www.prezzorestaurants.co.uk,020 7240 0352 
The National Dining Rooms,English Restaurants,http://www.peytonandbyrne.co.uk,020 7747 2525 
1ortilla Mexican Grills,Fast Food Restaurants,http://www.tortilla.co.uk,020 7930 0269 
Daddy O's Suya Spot Ltd,African Restaurants,,07833 253472 
A Toca Restaurant,Portuguese Restaurants,https://www.atoca-lambeth.co.uk,020 3006 6283 
Sagar Vegetarian & Vegan Restaurant,Indian Restaurants,http://www.sagarveg.co.uk/,020 8741 8563 
Little Italy,Italian Restaurants,,
Pizza Express,Pizzerias,http://www.pizzaexpress.com,020 7930 8205 
Subway,Fast Food Restaurants,https://restaurants.subway.com/united-kingdom/en/london/3-adelaide-street?utm_source=yext-other&utm_medium=local&utm_term=acq&utm_content=50916&utm_campaign=evergreen-2020&y_source=1_MTQ5MjU1NzYtNzAyLWxvY2F0aW9uLndlYnNpdGU%3D,020 7240 0474 
Barrafina,Spanish Restaurants,http://www.barrafina.co.uk/,020 7440 1450 
Tandoor Chop House,Indian Restaurants,http://www.tandoorchophouse.com,020 3096 0359 
Stk,American Restaurants,https://stksteakhouse.com,0808 234 1953 
McDonald's,American Restaurants,https://www.mcdonalds.com/gb/en-gb.html?cid=RF:YEXT:EXTNET:8260007:Clicks:DIRSYN:,020 7930 7530 
Walkers of Whitehall,Pub Restaurants,http://mosaicpubanddining.com,020 7925 0090 
Nutshell London,Persian Restaurants,https://nutshelllondon.co.uk/,020 3409 7924 
Wagamama,Japanese Restaurants,http://www.wagamama.com,020 3876 3727 
Les Deux Salons,French Restaurants,http://www.lesdeuxsalons.co.uk,0843 357 0734 
Yo/ To Go,Japanese Restaurants,,
Maharaja Indian Cuisine,Indian Restaurants,http://www.maharajaofindia.co.uk,020 3091 3500 
Fumo,Italian Restaurants,http://www.sancarlofumo.co.uk,020 3778 0430 
Portrait Restaurant,English Restaurants,http://www.npg.org.uk,020 7312 2490 
Rules Restaurant,Traditional Restaurants,http://www.rules.co.uk,020 7836 5314 
J Sheekey Restaurant,Seafood Restaurants,http://www.j-sheekey.co.uk,020 7240 2565 
Five Guys,Fast Food Restaurants,https://restaurants.fiveguys.co.uk/greater-london/9/11-villiers-st?y_source=1_MTI0MzE0NzYtNzAyLWxvY2F0aW9uLndlYnNpdGU%3D,020 7930 9860 
American Bar,Speciality Restaurants,http://www.benugo.com,020 7845 9202 
Xi Home,Chinese Restaurants,https://www.facebook.com/%e5%96%9c%e5%ae%b6-xi-home-dumplings-102331984526244,020 7379 6523 
Prezzo,Italian Restaurants,http://www.prezzorestaurants.co.uk,020 7930 4288 
Subway,Fast Food Restaurants,https://restaurants.subway.com/united-kingdom/en/london/19-20-embankment-place?utm_source=yext-other&utm_medium=local&utm_term=acq&utm_content=47395-1&utm_campaign=evergreen-2020&y_source=1_MTQ5MjM4NTgtNzAyLWxvY2F0aW9uLndlYnNpdGU%3D,020 7629 1488 
Brixx Bar and Grill,Caribbean Restaurants,https://brixxbarandgrill.co.uk/,020 7738 7310 
A Toca Restaurant,Portuguese Restaurants,https://www.atoca-lambeth.co.uk,020 3006 6289 
Sagar Vegetarian & Vegan Restaurant,Vegetarian Restaurants,http://www.sagarveg.co.uk/,020 8741 8563 
Leicester Square Bar & Restaurant,Seafood Restaurants,http://www.radissonedwardian.com/leicestersquare,020 7451 0114 
The Pasty Shop,Fast Food Restaurants,http://www.thepastyshop.com,020 7930 8856 
The Old Shades,Pub Restaurants,http://www.faucetinn.com,020 7839 8577 
Garfunkel's,English Restaurants,http://www.garfunkels.co.uk/,020 7839 5148 
Bancone,Italian Restaurants,http://www.bancone.co.uk,020 7240 8786 
Clos Maggiore,French Restaurants,http://www.closmaggiore.com,020 7379 9696 
Joy King Lau,Chinese Restaurants,http://www.joykinglau.com,020 7437 1132 
Giovanni's,Italian Restaurants,http://www.giovannislondon.co.uk,020 7240 2877 
M O C Kitchen,Vietnamese Restaurants,http://www.discoverfashiononline.com,020 7930 8789 
Obika Restaurant,Italian Restaurants,,
Bella Italia - Lakeside,Italian Restaurants,http://www.bellaitalia.co.uk/location/Irving-Street,020 7839 5509 
The Big Easy,American Restaurants,http://www.bigeasy.co.uk,020 3728 4888 
Thai Square - Head Office,Thai Restaurants,http://www.thaisq.com,020 7839 4000 
Chipotle Mexican Grill,Mexican Restaurants,https://locations.chipotle.co.uk/london/92-93-st-martins-lane?utm_source=extendednetwork&utm_medium=yext&utm_campaign=yext_listings&restaurant=1887,020 7836 7838 
Asia De Cuba,Speciality Restaurants,http://www.asiadecuba-restaurant.com,020 7300 5588 
La Roche Restaurant,Moroccan Restaurants,http://www.la-roche-london.co.uk,07515 868888 
Lulivo,Italian Restaurants,http://www.lulivo.co.uk,020 3441 3012 
Piazza Restaurant,Italian Restaurants,http://www.piazza-restaurant.co.uk,020 7379 6867 
Pizza Hut Takeaway & Restaurant Strand,Fast Food Restaurants,http://www.pizzahut.co.uk,020 7925 2457 
Lao Cafe Ltd,Indian Restaurants,http://www.laocafe.co.uk,020 3740 4748 
Wahaca Covent Garden,Mexican Restaurants,https://www.wahaca.co.uk/locations/covent-garden/?y_source=1_MTkxNDIwMzQtNzAyLWxvY2F0aW9uLndlYnNpdGU%3D,020 7240 1883 
Sticks 'N' Sushi,Japanese Restaurants,http://sticksnsushi.com,020 3141 8810 
The Taste of Jamaica Caribbean Cuisine,Caribbean Restaurants,http://www.tasteofjamaica.co.uk,020 3985 2274 
A Toca Restaurant,Portuguese Restaurants,https://www.atoca-lambeth.co.uk,020 3006 6290 
Grand Indian Restaurant,Indian Restaurants,,
Abeno Too,Japanese Restaurants,http://www.abeno.co.uk,020 7379 1160 
Cinnamon Bazaar,Indian Restaurants,https://cinnamon-bazaar.com,020 7395 1400 
TGI Fridays - Covent Garden,American Restaurants,https://www.tgifridays.co.uk/,0344 692 0229 
Bella Italia - Taplow,Italian Restaurants,http://www.bellaitalia.co.uk/location/St-Martin%27s-Lane,01628 604354 
Tgi Fridays,American Restaurants,https://www.tgifridays.co.uk/,0344 264 6055 
Benito's Hat,Mexican Restaurants,http://benitos-hat.com/,020 7240 5815 
Nando's Covent Garden,Portuguese Restaurants,http://www.nandos.co.uk,020 7836 4719 
Wing Shop,Fast Food Restaurants,https://wingsshop.co.uk/,020 3417 6270 
Brixton Village Grill,European Restaurants,,
Le Relais De Venise,French Restaurants,,
La Roche,Mediterranean Restaurants,http://www.la-roche-london.co.uk/,020 7240 8076 
Patara,Thai Restaurants,,
Salt 'n Pepper,Modern Cuisine Restaurants,http://www.saltnpepperuk.com,020 7930 2939 
Strand Tandoori,Indian Restaurants,http://www.strandtandoori.co.uk,020 7240 1333 
Bella Italia,Italian Restaurants,http://www.bellaitalia.co.uk,020 7839 3705 
The Real Greek,Greek Restaurants,http://www.therealgreek.com,020 7240 8531 
Whitcomb's,French Restaurants,https://www.thelondoner.com/restaurants-bars/whitcombs?utm_source=Yext&utm_medium=Organic&utm_campaign=Whitcombs,020 7451 0167 
The Ivy Market Grill,English Restaurants,https://ivycollection.com,020 3301 0200 
Farzi Cafe,Indian Restaurants,,
Fish Company,Fish and Chip Shops and Restaurants,,
Cafe Koha Bar,European Restaurants,http://www.cafekoha.com,020 7497 0282 
Hampshire Bar & Restaurant,Traditional Restaurants,http://www.radissonedwardian.com/hampshire,020 7666 0902 
Mezza Me,Lebanese Restaurants,https://www.mezzame.co.uk/?utm_source=yell&utm_medium=referral&utm_campaign=yell,020 7733 3098 
A Toca Restaurant,Portuguese Restaurants,https://www.atoca-lambeth.co.uk,020 3006 6291 
Ippudo,Japanese Restaurants,http://www.ippudo.co.uk/,020 3667 1877 
Spaghetti House,Italian Restaurants,http://www.spaghettihouse.co.uk,020 7839 3641 
Pizza Express,Pizzerias,http://www.pizzaexpress.com,020 7930 8044 
Thunderbird,American Restaurants,,
C & R Cafe Restaurant,Malaysian Restaurants,http://www.cnrrestaurant.com,020 7434 1128 
Joy Luck Restaurant,Chinese Restaurants,,
Leicester Square Kitchen,Mexican Restaurants,http://www.leicestersquarekitchen.co.uk,020 7666 0902 
Round Square,Indian Restaurants,http://www.roundsquareuk.com,020 7272 3356 
McDonald's,American Restaurants,https://www.mcdonalds.com/gb/en-gb.html?cid=RF:YEXT:EXTNET:8260433:Clicks:DIRSYN:,020 7240 3096 
Burger King,Fast Food Restaurants,https://locations.burgerking.co.uk/london-west-end/17-21-leicester-square,020 7930 0158 
L'Atelier De Joel Robuchon,French Restaurants,http://www.joel-robuchon.com,020 7010 8600 
Ping Pong Dim Sum,Chinese Restaurants,http://www.pingpongdimsum.com,020 7952 2450 
Cote St Martin's Lane,French Restaurants,https://www.cote.co.uk/,020 7379 9747 
The Clarence,Pub Restaurants,http://www.theclarencewhitehall.co.uk,020 7930 4808 
The Halal Guys,Speciality Restaurants,,
Mint Leaf,Indian Restaurants,http://www.mintleafrestaurant.co.uk,0131 555 5552 
Saravanaa Bhavan,Indian Restaurants,http://www.saravanabhavan.com,020 8839 8797 
1 2 1 2,Hotel Restaurants,http://www.thistlehotels.com,020 7451 9333 
Boyds Grill & Wine Bar,English Restaurants,http://www.boydsgrillandwinebar.co.uk,020 7808 3344 
The Northall Restaurant,English Restaurants,http://www.thenorthall.co.uk/,020 7321 3100 
Souk Bazaar,Moroccan Restaurants,http://www.soukrestaurant.co.uk,020 7240 1796 
Pizza Express,Pizzerias,http://www.pizzaexpress.com,020 7836 8001 
Cafe Pacifico,Mexican Restaurants,http://www.cafe-pacifico.com,020 7379 7728 
Marygreen Manor Hotel & Restaurant,English Restaurants,https://www.marygreenmanor.co.uk/weddings-in-essex.html,01277 225252 
Souk Bazaar,Moroccan Restaurants,http://www.soukrestaurant.co.uk,020 7240 1796 
Smith & Wollensky,Steakhouse Restaurants,http://www.smithandwollensky.co.uk,020 7321 6007 
Frenchie,French Restaurants,http://www.frenchiecoventgarden.com,020 7836 4422 
Cafe Pacifico,Mexican Restaurants,http://www.cafe-pacifico.com,020 7379 7728 
The Thai Princess,Thai Restaurants,,
Flat Iron,European Restaurants,,
Round Table,Pub Restaurants,http://www.greeneking.co.uk,020 7836 6436 
R S Hispaniola,Speciality Restaurants,http://www.hispaniola.co.uk,020 7839 3011 
Mintleaf,Indian Restaurants,http://www.mintleafrestaurant.com,020 7930 9020 
Simurgh,Persian Restaurants,http://www.simurgh.co.uk,020 7240 7811 
Kerridges Bar & Grill,English Restaurants,,
Bella Italia - London St Martins Lane,Italian Restaurants,https://www.bellaitalia.co.uk/italian-restaurant/london/st-martins-lane,020 7836 0484 
Simpson's in the Strand,Traditional Restaurants,http://www.simpsonsinthestrand.co.uk,020 7420 2111 
The Lady of the Grapes,French Restaurants,http://www.ladyofthegrapes.com,020 7836 4152 
Henry's Cafe Bar,Speciality Restaurants,http://www.masonscafebarcoventgarden.co.uk,020 7379 1871 
Fire & Stone,Pizzerias,http://www.fireandstone.com,020 7395 1960 
Pasta Brown,Italian Restaurants,http://www.pastabrown.com,020 7836 7486 
Cora Pearl,French Restaurants,http://www.corapearl.co.uk,020 7324 7722 
Chiquito,Mexican Restaurants,http://www.chiquito.co.uk,020 7321 6070 
Condesa,Spanish Restaurants,http://www.condesalondon.com,020 3601 5752 
Mazaa,Indian Restaurants,,
Brumus Restaurant & Bar Within Haymarket Hotel,English Restaurants,http://www.firmdalehotels.com,020 7470 4007 
Lima Floral,Speciality Restaurants,http://www.limafloral.com,020 7240 5778 
Le Beaujolais Club,French Restaurants,http://www.lebeaujolais.london,020 7836 2277 
Grand Cholan,Indian Restaurants,http://www.grandcholan.com,07417 502757 
Woodlands Restaurant,Vegetarian Restaurants,http://www.woodlandsrestaurant.co.uk,020 7839 7258 
Ruby Blue,Speciality Restaurants,http://www.rubybluebar.co.uk/,020 3325 9739 
Com Viet,Vietnamese Restaurants,http://www.comviet.co.uk,020 7497 2779 
Angus Steak House,Speciality Restaurants,http://www.angussteakhouse.co.uk,020 7836 3782 
C G Restaurants & Bars,Modern Cuisine Restaurants,http://www.cgrestaurants.com,020 7632 2080 
Planet Hollywood,American Restaurants,https://locations.planethollywoodintl.com/gb/lnd/london/57-60-haymarket?y_source=1_NjE0MDM5MS03MDItbG9jYXRpb24ud2Vic2l0ZQ%3D%3D,020 7437 7639 
Maxwell's Group Head Office,American Restaurants,http://www.maxwellsgroup.co.uk,020 7379 6132 
Moto,Japanese Restaurants,http://www.motoldn.com,020 8076 9512 
Encant,Spanish Restaurants,,
Ica Bar,European Restaurants,http://www.arnoldandhenderson.com/,020 7766 1424 
Sophie's Steakhouse & Bar,Steakhouse Restaurants,http://www.sophiessteakhouse.com,020 7836 8836 
Bourne & Hollingsworth Garden Room,European Restaurants,http://www.bandhgardenroom.com,020 3962 7275 
San Carlo Cicchetti,Italian Restaurants,https://sancarlo.co.uk,020 7494 9435 
The Golden Dragon,Chinese Restaurants,http://www.goldendragonlondon.com,020 7734 1073 
Bella Italia,Italian Restaurants,http://www.bellaitalia.co.uk,020 7321 0016 
Carluccio's,Italian Restaurants,http://www.carluccios.com,020 7836 0990 
Tonnochy Ltd,Chinese Restaurants,,
Pizza Hut Takeaway & Restaurant Leicester Square,Pizzerias,http://www.pizzahut.co.uk,020 7930 9114 
Vasiniko,Pizza Delivery and Takeaway,https://vasinikopizza.co.uk/,020 7836 8628 
Oystermen,Seafood Restaurants,http://www.oystermen.co.uk,020 7240 4417 
Hankies,Indian Restaurants,https://www.hankies.kitchen,020 7112 4894 
Maxwell's,Speciality Restaurants,https://www.maxwellsgroup.co.uk,020 7836 0303 
Rosso Italiano,Italian Restaurants,,
Balthazar,French Restaurants,http://www.balthazarlondon.com,020 3301 1155 
Ammos Hyde Park,Seafood Restaurants,https://ammoshydepark.com/,020 7262 0169 
Benihana,Japanese Restaurants,http://www.benihana.co.uk,020 7494 2525 
Spaghetti House,Italian Restaurants,http://www.spaghetti-house.co.uk,020 7836 8168 
Bluerock,Fish and Chip Shops and Restaurants,,
Five Guys,Fast Food Restaurants,https://restaurants.fiveguys.co.uk/greater-london/1-3-long-acre?y_source=1_MTI0MzE0NDgtNzAyLWxvY2F0aW9uLndlYnNpdGU%3D,020 7240 2057 
P F Chang's Asian Table,Chinese Restaurants,https://www.pfchangs.co.uk,01923 555161 
The Diner,American Restaurants,http://www.goodlifediner.com,020 3011 5505 
POLPO Covent Garden,Italian Restaurants,http://www.polpo.co.uk,020 7836 8448 
Ed's Easy Diner,American Restaurants,http://www.edseasydiner.co.uk,020 7287 1951 
Wok to Walk,Chinese Restaurants,http://www.woktowalk.com,020 7240 5797 
Polpo Covent Garden,Italian Restaurants,http://www.polpo.co.uk,020 7836 8448 
Baozi Inn Restaurant,Chinese Restaurants,http://www.baoziinnlondon.com,020 7287 6877 
Andalucia,Spanish Restaurants,http://www.andaluciatapas.co.uk,020 7930 9950 
Barshu Restaurant,Chinese Restaurants,http://www.barshurestaurant.co.uk,020 7287 8822 
Aberdeen Angus Steakhouse,Speciality Restaurants,http://www.steakandco.com/steak-co,020 7930 8544 
Browns Covent Garden,Bistros,https://www.browns-restaurants.co.uk/restaurants/london/covent-garden,020 7497 5050 
Curry House Coco Ichibanya,Japanese Restaurants,https://www.ichibanya.uk,020 3904 5633 
Yori,Korean Restaurants,http://www.yoriuk.com,020 7930 8881 
Browns Bar & Brasserie,Speciality Restaurants,,
Salieri Restaurant,French Restaurants,http://www.salieri.co.uk,020 7836 1318 
Canton Restaurant,Chinese Restaurants,https://annacheneats.blogspot.ro/,020 7437 6220 
Fish And Chipper,Fish and Chip Shops and Restaurants,,
Tokyo Diner,Japanese Restaurants,http://www.tokyodiner.com,020 7434 1414 
Din Tai Fung,Chinese Restaurants,https://dintaifung-uk.com,020 3034 3888 
Christopher's,American Restaurants,http://www.christophersgrill.com,020 7240 4222 
Mezza Me,Lebanese Restaurants,https://www.mezzame.co.uk/?utm_source=yell&utm_medium=referral&utm_campaign=yell,020 7733 3098 
Christopher's,American Restaurants,http://www.christophersgrill.com,020 7240 4222 
St Martin's House,Speciality Restaurants,http://www.stmartinshouselondon.co.uk/,020 7836 7591 
The Bosporus,Turkish Restaurants,http://www.thebosporus.co.uk,020 7060 5566 
Kanada-Ya,Japanese Restaurants,https://www.kanada-ya.com,020 7930 3511 
Sibarita,Spanish Restaurants,,
Leon,Fast Food Restaurants,http://www.leonrestaurants.co.uk,020 7287 8477 
Sushi Kyoto,Japanese Restaurants,,
Cafe Boheme,French Restaurants,http://www.cafeboheme.co.uk,020 7734 0623 
Honest Burgers,English Restaurants,http://www.honestburgers.co.uk/,020 3019 0959 
Shake Shack,Armenian Restaurants,https://www.shakeshack.co.uk/locations/london/leicester-square/?utm_source=yell&utm_medium=referral&utm_campaign=yell,01923 555185 
Tyfoon Restaurants Ltd,Traditional Restaurants,,
McDonald's,Fast Food Restaurants,https://www.mcdonalds.com/gb/en-gb.html?cid=RF:YEXT:EXTNET:8261495:Clicks:DIRSYN:,020 7930 9442 
Savoy Grill,European Restaurants,http://www.gordonramsay.com,020 7592 1600 
Tom's Kitchen,European Restaurants,http://www.tomskitchen.co.uk/,020 7403 6246 
Maison Du Mezze,Lebanese Restaurants,,
Machiya,Japanese Restaurants,http://www.machi-ya.co.uk,020 7925 0333 
Chop Shop,European Restaurants,http://www.chopshopuk.com,020 7842 8501 
Wild Honey,European Restaurants,https://www.wildhoneystjames.co.uk,020 7389 7820 
Caffe Concerto,Italian Restaurants,http://www.caffeconcerto.co.uk,020 7494 6853 
Joes Southern Table Bar,American Restaurants,http://www.joessouthernkitchen.co.uk,020 7240 4008 
Frog by Adam Handling,English Restaurants,http://www.frogbyadamhandling.com,020 7199 8370 
Hawker Street,Chinese Restaurants,,
Imperial Treasure,Chinese Restaurants,http://www.imperialtreasure.com,020 3011 1328 
Enzo's Kitchen,Italian Restaurants,http://www.tastingsicily.restaurant,020 7839 5142 
MAGA,African Restaurants,,07804 132231 
Imperial Treasure,Chinese Restaurants,http://www.imperialtreasure.com,020 3011 1328 
Wasabi Sushi & Bento,Japanese Restaurants,http://www.wasabi.uk.com,020 7734 8556 
Enzo's Kitchen,Italian Restaurants,http://www.tastingsicily.restaurant,020 7839 5142 
Carluccio's,Italian Restaurants,http://www.carluccios.com,020 7580 3050 
The Balcon,French Restaurants,http://www.thebalconlondon.com,020 7968 2900 
Just Chips,Fast Food Restaurants,,
Palm Court Brasserie,Traditional Restaurants,http://www.maxwellsgroup.co.uk,020 7240 2939 
3 Henrietta St,Hotel Restaurants,http://3henrietta.com/,020 3325 5275 
Wong Kei,Chinese Restaurants,http://www.wongkweilondon.com,020 7437 8408 
28-50,European Restaurants,http://www.2850coventgarden.co.uk,020 7420 0630 
Chinese Tapas House,Fast Food Restaurants,,
Good Friend,Fast Food Restaurants,,
Prezzo Restaurants,Italian Restaurants,http://www.prezzorestaurants.co.uk,020 7839 1129 
China Buffet,Chinese Restaurants,,
Honest Burgers,American Restaurants,http://www.honestburgers.co.uk/,020 8069 6766 
London Chinatown Restaurant,Chinese Restaurants,http://www.londonchinatownrestaurant.co.uk,020 7437 3186 
Hungerford House,English Restaurants,http://www.hungerfordhouse.co.uk/,020 8617 1380 
Hungerford House,English Restaurants,http://www.hungerfordhouse.co.uk,020 8617 1380 
Tiger Tiger,Bistros,http://www.tigertiger.co.uk,020 7930 1885 
Jinli Restaurant,Chinese Restaurants,,
Gauthier Soho,French Restaurants,http://www.gauthiersoho.co.uk,020 7494 3111 
Sagar,Vegetarian Restaurants,http://www.sagarveg.co.uk,020 7836 6377 
Kebab & Grill,Fast Food Restaurants,,
Subway,Fast Food Restaurants,https://restaurants.subway.com/united-kingdom/en/london/2-4-upper-st-martins-lane?utm_source=yext-other&utm_medium=local&utm_term=acq&utm_content=26599-1&utm_campaign=evergreen-2020&y_source=1_MTQ5MjU3NjktNzAyLWxvY2F0aW9uLndlYnNpdGU%3D,020 7836 4577 
